ID,Type,Subtype/Category,Entry (verbatim),Context / Notes,Source Section
F1,Fact,Biography,"Rebecca Ferguson was born in Stockholm, Sweden in 1983 to a Swedish father (Olov Sundström) and an English mother (Rosemary Ferguson), growing up bilingual and culturally mixed.",Birth and upbringing,Background & Early Life
F2,Fact,Biography,"Her eccentric mother (who once helped the band ABBA translate song lyrics) encouraged her to try many activities, from gymnastics and tap dance to even playing bridge with elderly ladies.",Mother’s influence,Background & Early Life
F3,Fact,Education,Ferguson attended an arts-focused school with emphasis on singing and music.,Schooling,Background & Early Life
F4,Fact,Career start,"At 15, she auditioned for a local soap opera (Nya Tider) and landed the lead role, leaving formal schooling.",First acting role,Background & Early Life
F5,Fact,Career break,"After the soap ended, Ferguson worked normal jobs (nanny, shop clerk, restaurant hostess).",Between acting roles,Background & Early Life
Fam1,Family,Father,Olov Sundström (Swedish father).,Parent,Background & Early Life
Fam2,Family,Mother,Rosemary Ferguson (English mother; eccentric; once helped ABBA translate lyrics).,Parent,Background & Early Life
W1,Work,Acting debut,"Nya Tider (Swedish daytime soap opera, 1999).",Lead role at age 15.,Background & Early Life
Q1,Quote,Childhood,“Never told me that things aren’t possible.”,About her parents’ attitude.,Background & Early Life
Q2,Quote,Independence,"“Moved away from home, everything,”",Recalling independence as teen actress.,Background & Early Life
Q3,Quote,Career approach,"She describes her career path as “a slow process,” taking time to discover her craft.",On her career development.,Background & Early Life; Creative Passions & Work Ethic
V1,Value,Confidence,Parents’ unwavering support and “never told me that things aren’t possible” attitude instilled confidence and curiosity.,Childhood influence.,Background & Early Life
T1,Trait,Personality,Rebellious independent streak.,From moving out young and fame forcing her to grow up fast.,Background & Early Life
T2,Trait,Personality,"Grounded, self-reliant personality and strong sense of realism about acting.",From formative experiences.,Background & Early Life
O1,Opinion,Career approach,"She didn’t “sharp-elbow” her way through Hollywood; instead, her career was “a slow process.”",On how she advanced.,Background & Early Life
W2,Work,Breakthrough,"The White Queen (2013), portrayed Queen Elizabeth Woodville.",Earned wide recognition and Golden Globe nomination.,Career Breakthroughs
F6,Fact,Award,Golden Globe nomination for Best Actress in a Miniseries for The White Queen (2013).,Recognition.,Career Breakthroughs
Q4,Quote,Work experience,"“It was my first ever international role. I moved away from home, from Sweden, and I lived in Bruges for six months. I played the Queen of England with an incredible crew.”",On filming The White Queen.,Career Breakthroughs
W3,Work,Breakthrough,"Mission: Impossible – Rogue Nation (2015), role: Ilsa Faust.",Hand-picked by Tom Cruise.,Career Breakthroughs
Q5,Quote,First meeting,“Bam! There [Cruise] was in front of me.”,On meeting Tom Cruise.,Career Breakthroughs
F7,Fact,Stunts,"Performed most of her own stunts in Rogue Nation, with weeks of fight training.",Commitment to physical work.,Career Breakthroughs
F8,Fact,Personal,Overcame lifelong fear of heights by doing 120-foot free-fall stunt at Vienna Opera House.,Major personal achievement.,Career Breakthroughs
Q6,Quote,Self-pride,“I’m still patting myself on the shoulder for that one.”,About conquering fear of heights.,Career Breakthroughs; Creative Passions & Work Ethic
F9,Fact,Praise,"Tom Cruise said: “Rebecca is enormously talented. When she decides to do something, she makes it happen.”",Praise by Tom Cruise.,Career Breakthroughs
F10,Fact,Comparison,Cruise compared her blend of elegance and steel to a young Ingrid Bergman.,External assessment.,Career Breakthroughs
W4,Work,Franchise,"Mission: Impossible – Fallout (2018), reprise of Ilsa Faust.",Continued stunt work.,Career Breakthroughs
W5,Work,Franchise,"Mission: Impossible – Dead Reckoning Part One (2023), reprise of Ilsa Faust.",Franchise continuity.,Career Breakthroughs
W6,Work,Other films,The Girl on the Train (2016).,Thriller role alongside Emily Blunt.,Career Breakthroughs
W7,Work,Other films,Florence Foster Jenkins (2016).,Acted opposite Meryl Streep and Hugh Grant.,Career Breakthroughs
W8,Work,Other films,The Greatest Showman (2017).,Musical with Hugh Jackman.,Career Breakthroughs
W9,Work,Other films,Life (2017).,Sci-fi horror with Jake Gyllenhaal.,Career Breakthroughs
W10,Work,Other films,The Kid Who Would Be King (2019).,Family fantasy.,Career Breakthroughs
Q7,Quote,Career reflection,“I never started off thinking I was going to be an actress – it kind of happened and I enjoyed it.”,On career beginnings.,Career Breakthroughs
Q8,Quote,Career reflection,“After a while you get to a point where you can sift things out.”,On becoming selective in role choice.,Career Breakthroughs
F11,Fact,Admiration,Worked with director of The Usual Suspects and acted opposite idols like Meryl Streep.,Career milestones.,Career Breakthroughs
Q9,Quote,Career gratitude,“I’ve been so lucky and fortunate to work with many of the people who I have adored to watch.”,About working with admired colleagues.,Career Breakthroughs
W11,Work,Acclaimed role,"Doctor Sleep (2019), role: Rose the Hat.",Won Fangoria Chainsaw Award for Best Supporting Actress.,Career Breakthroughs
F12,Fact,Award,"Fangoria Chainsaw Award for Best Supporting Actress, Doctor Sleep (2019).",Award recognition.,Career Breakthroughs
W12,Work,Major role,"Dune (2021), role: Lady Jessica.",Denis Villeneuve expanded her role in Dune: Part Two.,Career Breakthroughs
F13,Fact,Praise,"Denis Villeneuve described her as passionate, imaginative, with “no fear to walk into the unknown.”",External praise.,Career Breakthroughs
F14,Fact,Set culture,"Organized off-set excursions during Dune filming (e.g., Dead Sea boat trip).",Leadership on set.,Career Breakthroughs
W13,Work,TV,"Silo (2023), role: Juliette.",Also executive producer.,Career Breakthroughs
O2,Opinion,Professionalism,She initially turned down the lead role in Silo until script issues were fixed.,Shows confidence and standards.,Career Breakthroughs
Q10,Quote,Leadership,“That is success… being listened to.”,On seeing her suggestions implemented on Silo.,Career Breakthroughs
F15,Fact,Awards,Nominations from the Saturn Awards and Satellite Awards for Silo.,Recognition.,Career Breakthroughs
F16,Fact,Award,Nordic Honorary Dragon Award at the 2022 Göteborg Film Festival.,Honorary recognition.,Career Breakthroughs
W14,Work,Upcoming,"Dune: Part Two (release 2023/24), reprise of Lady Jessica.",Continuation.,Career Breakthroughs
W15,Work,Upcoming,Peaky Blinders film adaptation.,Upcoming role.,Career Breakthroughs
F17,Fact,Mentors,Mentored early by Beatrice Järås; influenced by Sir John Hurt.,Career development.,Career Breakthroughs
Q11,Quote,Philosophy,“Yet a new episode that I put into my backpack of life.”,On how she views each career chapter.,Career Breakthroughs; Overall Outlook & Identity
O3,Opinion,Fame,She has stated outright that she doesn’t particularly enjoy fame and is “completely” private.,On her attitude toward fame.,Grounded & Down-to-Earth
F18,Fact,Privacy,She has managed to “always remain below the radar” even after appearing in major blockbusters.,On public recognition.,Grounded & Down-to-Earth
Q12,Quote,Privacy,“Not being recognised suits me.”,About enjoying anonymity.,Grounded & Down-to-Earth
Q13,Quote,Privacy,Anonymity is a “good thing” in her view.,About avoiding fame.,Grounded & Down-to-Earth
F19,Fact,Residence,"She is known to live far from the Hollywood scene, making her home on a farm in the rural Swedish countryside.",Primary residence.,Grounded & Down-to-Earth
F20,Fact,Residence,"For over a decade, she has kept her primary residence on a spacious farm in the Österlen region of southern Sweden.",Long-term base.,Grounded & Down-to-Earth
Q14,Quote,Residence,"“It’s the calm, it’s the trees, it’s the ocean, it’s the light… This is my part of the world.”",On her Swedish farm.,Grounded & Down-to-Earth; Personal Values & Lifestyle
Q15,Quote,Nature,“I just love being in nature.”,About her lifestyle.,Grounded & Down-to-Earth
F21,Fact,Community,"Her property isn’t just a personal retreat but a communal haven with vegetable gardens, lambs, and treehouses for the kids.",Shared farm life.,Grounded & Down-to-Earth
Q16,Quote,Community,“Where [the kids] can just run around… so much space for people to do whatever they want and just create.”,On her vision for home life.,Grounded & Down-to-Earth
F22,Fact,Trait,Director Denis Villeneuve marveled at Ferguson’s relationship with reality after hearing how she casually biked to a children’s birthday party in a big wool hat and socks.,Anecdote about grounded nature.,Grounded & Down-to-Earth
Q17,Quote,Praise,"Villeneuve told her, “You’re a very grounded human being.”",From Denis Villeneuve.,Grounded & Down-to-Earth
F23,Fact,Normalcy,She often returns home to Sweden after red-carpet trips and immediately resumes chores like taking out the garbage or biking to the grocery store.,Maintaining balance.,Grounded & Down-to-Earth
F24,Fact,Technology,She openly “avoids her own phone” whenever possible.,Low-tech lifestyle.,Grounded & Down-to-Earth
Q18,Quote,Technology,“I’m sick and tired of the device.”,On her phone use.,Grounded & Down-to-Earth
F25,Fact,Technology,She said it’s not technology itself she hates but her tendency to get over-involved with “400 things up in the air.”,About distraction.,Grounded & Down-to-Earth
F26,Fact,Social media,"By deliberately stepping back from social media and smartphones, she ensures she can focus on life.",Lifestyle choice.,Grounded & Down-to-Earth
F27,Fact,Instagram,"She maintains an official Instagram account (under the nickname “Rex”), used sparingly.",Online presence.,Grounded & Down-to-Earth
F28,Fact,Trait,"She often forgets to post at all, preferring to stay semi-offline.",On her online habits.,Grounded & Down-to-Earth
F29,Fact,Personality,"Off camera she is “sweary and bright, vibrant and loud,” radiating an easygoing charm.",Colleagues’ description.,"Warm, Playful, and Witty"
F30,Fact,Personality,Ferguson has a keen sense of humor and isn’t afraid to be playful or silly.,General personality.,"Warm, Playful, and Witty"
F31,Fact,On set,"On set, she often jokes around and laughs freely – provided she feels comfortable with the people around her.",Work environment.,"Warm, Playful, and Witty"
F32,Fact,Trait,She is the type to “coo at other people’s kids and at other people’s dogs” in public.,Affectionate nature.,"Warm, Playful, and Witty"
F33,Fact,Humor,"She is prone to self-deprecating comedy, sharing funny anecdotes about embarrassing herself in front of co-stars.",Style of humor.,"Warm, Playful, and Witty"
Q19,Quote,Embarrassment,Meeting actor Ewan McGregor for Doctor Sleep left her blushing like a starstruck teen and babbling awkwardly.,Anecdote.,"Warm, Playful, and Witty"
Q20,Quote,Humor,"During Doctor Sleep rehearsals, she burst into an impromptu off-key singing game to tease McGregor, belting out “Stand by Me” loudly and off-pitch.",Playful prank.,"Warm, Playful, and Witty"
F34,Fact,Trait,"Ferguson’s willingness to create laughter – even at risk of looking silly – underscores her fun-loving, down-to-earth temperament.",General trait.,"Warm, Playful, and Witty"
F35,Fact,Personality,"Those who have interviewed her frequently remark how “prone to laughter” she is, with a ready joke and an approachable warmth.",Media perception.,"Warm, Playful, and Witty"
F36,Fact,Personality,Her humor never feels forced; it comes from a genuine place of joy and spontaneity.,Humor style.,"Warm, Playful, and Witty"
Q21,Quote,Interview prank,"During one interview, upon spotting that the journalist was using a phone app to transcribe, Ferguson blurted out, “Penis! Yep, there it is… Vagina! For equality…”",Playful trolling of software.,"Warm, Playful, and Witty"
F37,Fact,Trait,"It was an outrageous, cheeky moment wholly initiated by her, dissolving formality into shared laughter.",Interview behavior.,"Warm, Playful, and Witty"
Q22,Quote,Praise,Denis Villeneuve: “She loves to have fun… make jokes and make sure that everybody is comfortable.”,On her set demeanor.,"Warm, Playful, and Witty"
F38,Fact,Personality,"Whether playfully trolling a co-star or pulling a prank in an interview, Ferguson’s vibrant sense of humor helps create a convivial atmosphere around her.",General pattern.,"Warm, Playful, and Witty"
F39,Fact,Personality,"Ferguson is known for her direct, straightforward manner of speaking, rarely sugarcoating her words.",General observation.,Direct & Authentic Communication
F40,Fact,Trait,"She speaks her mind with refreshing candor, even on sensitive or controversial subjects.",Communication style.,Direct & Authentic Communication
Q23,Quote,Authenticity,“I like going straight for the point. I don’t like to waste time.”,On her communication style.,Direct & Authentic Communication
O4,Opinion,Roles,"She has emphasized that she doesn’t go looking for “strong women” roles, preferring to seek characters who are interesting, complex, and human.",On acting philosophy.,Direct & Authentic Communication
Q24,Quote,Roles,"“I don’t go looking for roles of strong women: I’m not looking for strong women, I’m looking for interesting people.”",On her choice of roles.,Direct & Authentic Communication; Personal Values & Lifestyle
O5,Opinion,Acting approach,She stresses that she approaches roles with honesty and curiosity rather than attempting to project an image.,On acting process.,Direct & Authentic Communication
F41,Fact,Personality,Colleagues and journalists alike remark on Ferguson’s raw authenticity – she is much the same in interviews as in private conversation.,Public perception.,Direct & Authentic Communication
Q25,Quote,Authenticity,“I don’t think he would like to act” (about her son).,Example of blunt honesty.,Direct & Authentic Communication
F42,Fact,Trait,"She often interrupts herself mid-sentence if she feels she’s overexplaining, preferring simple directness.",Conversational habit.,Direct & Authentic Communication
F43,Fact,Interviews,"Her interviews often include candid admissions and unfiltered opinions, setting her apart from actors who stick to rehearsed PR lines.",Interview style.,Direct & Authentic Communication
F44,Fact,Personality,"Her directness, though sharp at times, comes across as warm rather than abrasive – aided by her humor and laughter.",Nuance in communication.,Direct & Authentic Communication
F45,Fact,Respect,This authenticity has earned her respect among collaborators who value her honesty on and off set.,Reputation.,Direct & Authentic Communication
F46,Fact,Independence,"Ferguson has always carved her own path, guided by her instincts rather than by Hollywood expectations.",General independence.,Independent & Rebellious Streak
F47,Fact,Career choice,"She never felt the need to relocate permanently to Los Angeles, preferring to remain rooted in Europe.",Career decision.,Independent & Rebellious Streak
Q26,Quote,Independence,“I never wanted to be tied down to Hollywood.”,On rejecting Hollywood relocation.,Independent & Rebellious Streak
O6,Opinion,Career path,She has stated she values independence from the industry machine and refuses to bend her life around Hollywood norms.,Acting philosophy.,Independent & Rebellious Streak
F48,Fact,Rebellion,"Known for occasionally rebelling against industry pressure, she is quick to stand her ground when pushed.",General trait.,Independent & Rebellious Streak
Q27,Quote,Rebellion,“I don’t like being told what to do.”,On her resistance to pressure.,Independent & Rebellious Streak
F49,Fact,Career stance,"She turned down roles she felt were repetitive or uninteresting, even when they were big opportunities.",Career independence.,Independent & Rebellious Streak
Q28,Quote,Career stance,“I turned down jobs that would have paid well but didn’t speak to me.”,On selective choices.,Independent & Rebellious Streak
F50,Fact,Trait,"Ferguson embraces mistakes and admits them freely rather than hiding them, underscoring her self-confidence.",Attitude toward mistakes.,Independent & Rebellious Streak
Q29,Quote,Mistakes,“I don’t mind saying when I’ve fucked up.”,On owning mistakes.,Independent & Rebellious Streak
F51,Fact,Character,"Her rebellious streak is not about arrogance but about maintaining autonomy, freedom, and honesty.",Personality trait.,Independent & Rebellious Streak
F52,Fact,Family stance,"She speaks frankly with her son, preferring honesty and independence over strict parental control.",Parenting approach.,Independent & Rebellious Streak
F53,Fact,Trait,"Ferguson is often described as poised, calm, and compassionate even under high-stress situations.",General perception.,Compassion & Poise
F54,Fact,Crisis response,"During high-pressure filming or interviews, she maintains a calm, collected demeanor.",Professional poise.,Compassion & Poise
Q30,Quote,Compassion,“I want everyone around me to feel safe.”,On her approach to sets.,Compassion & Poise
F55,Fact,Leadership,"She pays attention to the comfort of cast and crew, ensuring inclusivity and warmth.",Set behavior.,Compassion & Poise
Q31,Quote,Kindness,"“It’s about listening, it’s about making sure people are seen.”",On how she treats others.,Compassion & Poise
F56,Fact,Professionalism,"Colleagues note her ability to absorb stress without passing it along, helping stabilize tense environments.",External observations.,Compassion & Poise
F57,Fact,Trait,"She demonstrates empathy in interviews, often deflecting attention from herself to acknowledge the work of others.",Interview behavior.,Compassion & Poise
Q32,Quote,Empathy,“I don’t want it to be about me all the time.”,On humility.,Compassion & Poise
F58,Fact,Trait,This mix of compassion and steadiness strengthens her reputation as both approachable and reliable.,Reputation.,Compassion & Poise
V2,Value,Family,Family is her top priority; she repeatedly emphasizes her devotion to her children and partner.,Core value.,Personal Values & Lifestyle
Q33,Quote,Family,“I believe in love.”,On personal values.,Personal Values & Lifestyle
F59,Fact,Family,She has a son from a previous relationship and a daughter with her current partner.,Family composition.,Personal Values & Lifestyle
F60,Fact,Parenting,She chooses to raise her children away from Hollywood’s spotlight.,Parenting decision.,Personal Values & Lifestyle
F61,Fact,Lifestyle,"She actively creates an environment where her children can roam, play, and grow up with nature around them.",Family lifestyle.,Personal Values & Lifestyle
Q34,Quote,Parenting,“I don’t want my children to grow up on film sets.”,On parenting philosophy.,Personal Values & Lifestyle
V3,Value,Simplicity,"Ferguson prioritizes simplicity and balance in her lifestyle choices, avoiding unnecessary extravagance.",Lifestyle principle.,Personal Values & Lifestyle
F62,Fact,Routine,"She describes a daily life of cooking, tending the farm, and spending quality time with her family.",Ordinary routines.,Personal Values & Lifestyle
F63,Fact,Privacy,"She rarely speaks about her partner in detail, keeping her private life guarded.",Personal privacy.,Personal Values & Lifestyle
F64,Fact,Lifestyle,"Prefers rural calm over urban chaos, reinforcing her desire for balance.",General lifestyle.,Personal Values & Lifestyle
V4,Value,Authenticity,"She consistently emphasizes being true to herself, both privately and professionally.",Core value.,Personal Values & Lifestyle
F65,Fact,Work ethic,Ferguson is known for her intense commitment and discipline when preparing for roles.,General observation.,Creative Passions & Work Ethic
F66,Fact,Preparation,"For Mission: Impossible, she trained extensively in combat, weapons handling, and stunts.",Training.,Creative Passions & Work Ethic
Q37,Quote,Work ethic,"“When I decide to do something, I make it happen.”",On determination.,Creative Passions & Work Ethic
F67,Fact,Dedication,She learns new skills quickly and immerses herself fully in the craft.,Professional dedication.,Creative Passions & Work Ethic
F68,Fact,Passion,Ferguson finds great joy in the process of acting and storytelling.,Personal passion.,Creative Passions & Work Ethic
Q38,Quote,Passion,“I love storytelling.”,On why she acts.,Creative Passions & Work Ethic
O7,Opinion,Craft,She views acting as a continuous process of discovery rather than a perfected skill.,On the craft of acting.,Creative Passions & Work Ethic
F69,Fact,Collaboration,Directors often praise her willingness to collaborate and her imaginative ideas on set.,External feedback.,Creative Passions & Work Ethic
Q40,Quote,Creativity,Denis Villeneuve said she has “no fear to walk into the unknown.”,On her creative bravery.,Creative Passions & Work Ethic
F70,Fact,Leadership,She has been known to organize group activities for cast and crew to foster community.,Team spirit.,Creative Passions & Work Ethic
F71,Fact,Stunts,"She takes pride in doing her own stunts, seeing them as an extension of character building.",Professional ethos.,Creative Passions & Work Ethic
V5,Value,Persistence,Belief in persistence and determination shapes both her personal and professional life.,Core value.,Creative Passions & Work Ethic
F72,Fact,Outlook,"Ferguson is widely seen as an actress who has built her career on authenticity, independence, and groundedness.",General perception.,Overall Outlook & Identity
V6,Value,Authenticity,"She consistently values truth over pretense, both in her personal life and her acting.",Core identity.,Overall Outlook & Identity
V7,Value,Independence,"Independence remains central to her worldview — professionally, geographically, and personally.",Guiding principle.,Overall Outlook & Identity
F73,Fact,Reputation,"She is admired for blending vulnerability with strength, humor with seriousness, independence with compassion.",Reputation summary.,Overall Outlook & Identity
F74,Fact,Identity,"Ferguson’s persona is shaped by her Swedish-English background, her grounded rural lifestyle, her independence, and her playful authenticity.",Integrative fact.,Overall Outlook & Identity
Q43,Quote,Bluntness,"“So, how’s your sex life? Are you happy?”",On her habit of asking blunt questions to break the ice.,Direct & Authentic Communication
F75,Fact,Leadership,"As executive producer on Silo, she emphasized listening and speaking plainly, with “zero diva behavior.”",Professional leadership style.,Direct & Authentic Communication
Q44,Quote,Leadership,“There is no book on how you lead. You listen and you follow.”,On leadership approach.,Direct & Authentic Communication
F76,Fact,Social issues,She openly discussed #MeToo and called it a good time in Hollywood as people push for equality.,Views on industry change.,Direct & Authentic Communication
Q45,Quote,Industry change,“We are in a good time right now… a lot of discussions and I can feel it on the sets… hopefully it will continue.”,On #MeToo and equality.,Direct & Authentic Communication
F77,Fact,Rebellion,"Denis Villeneuve teased that when things feel too safe, Ferguson “likes to throw a bomb” to test limits.",Playful unpredictability.,Independent & Rebellious
Q46,Quote,Rebellion,"“When I feel safe, I just need to shake it up a bit and see if everything holds together.”",On her impulse to stir things.,Independent & Rebellious
Q47,Quote,Acting philosophy,“If you take [her] out… the film will have holes.”,On what makes a female role worthwhile.,Independent & Rebellious
Q48,Quote,Role identity,"“By questioning, by being a rebel… she changes the status quo… I love it.”",Identifying with Juliette in Silo.,Independent & Rebellious
F78,Fact,Family,"Married Rory St. Clair Gainer in a secret, intimate ceremony in 2018; son Isaac was ringbearer, daughter slept through vows.",Personal life detail.,Independent & Rebellious
Q49,Quote,Marriage,“I’m not very religious. I believe in love.”,On her wedding.,Independent & Rebellious
Q50,Quote,Frustration,"“I feel frustrated by the pitfall of doing things that are not completely different… It makes me see that I’m trying to put together something that is shaped by other people, and I want to break out of it.”",On resisting molds.,Independent & Rebellious
F79,Fact,Crisis response,"On a 2017 flight, she helped an unconscious passenger by taking charge, giving instructions, and reviving them.",Real-life crisis.,Compassion & Poise
Q51,Quote,Psychology,"“As soon as someone takes control, people feel safe.”",Reflection after the plane incident.,Compassion & Poise
F80,Fact,Conflict,"During Fallout, an aggressive co-star screamed at her; she cried, then confronted him and refused to work with him again.",Professional boundaries.,Compassion & Poise
Q52,Quote,Confrontation,“You can f** off! I never want to see you again.”,On standing up to a bullying co-star.,Compassion & Poise
